event_id,artist_id,billing_order
1,3,HEADLINER
1,2,OPENING_ACT
2,2,HEADLINER
2,3,OPENING_ACT
3,2,HEADLINER
4,6,HEADLINER
5,6,HEADLINER
5,4,OPENING_ACT
6,4,HEADLINER
7,9,HEADLINER
7,7,OPENING_ACT
8,9,HEADLINER
9,8,HEADLINER
9,7,OPENING_ACT
10,12,HEADLINER
10,10,OPENING_ACT
11,12,HEADLINER
11,11,OPENING_ACT
12,11,HEADLINER
13,13,HEADLINER
14,14,HEADLINER
15,13,HEADLINER
16,15,HEADLINER
17,15,HEADLINER
18,15,HEADLINER
19,16,HEADLINER
19,17,SPECIAL_GUEST
20,16,HEADLINER
20,17,SPECIAL_GUEST
21,16,HEADLINER
21,17,SPECIAL_GUEST
22,20,HEADLINER
22,21,SPECIAL_GUEST
23,19,HEADLINER
23,20,SPECIAL_GUEST
24,19,HEADLINER
24,21,SPECIAL_GUEST
