listing_id,ticket_id,seller_id,list_price,status,created_at,closed_at,buyer_id
1,1833,112,185.92,WITHDRAWN,2026-06-23 12:00:00,2026-06-28 12:00:00,
2,1834,112,210.57,ACTIVE,2026-07-16 12:00:00,,
3,1835,112,158.33,ACTIVE,2026-07-22 12:00:00,,
4,1836,112,150.83,ACTIVE,2026-07-04 12:00:00,,
5,1837,112,151.0,WITHDRAWN,2026-07-13 12:00:00,2026-07-14 12:00:00,
6,1838,112,167.07,WITHDRAWN,2026-06-23 12:00:00,2026-06-28 12:00:00,
7,1839,112,63.29,ACTIVE,2026-07-24 12:00:00,,
8,1840,112,59.22,ACTIVE,2026-07-10 12:00:00,,
9,1841,112,57.62,ACTIVE,2026-07-12 12:00:00,,
10,1845,13,237.51,WITHDRAWN,2026-07-23 12:00:00,2026-07-27 12:00:00,
11,1846,13,200.11,WITHDRAWN,2026-07-16 12:00:00,2026-07-19 12:00:00,
12,1847,13,238.45,ACTIVE,2026-07-13 12:00:00,,
13,1848,13,156.11,ACTIVE,2026-07-28 12:00:00,,
14,1849,13,178.38,ACTIVE,2026-06-24 12:00:00,,
15,1850,13,175.35,WITHDRAWN,2026-07-14 12:00:00,2026-07-15 12:00:00,
16,1851,13,105.55,ACTIVE,2026-06-27 12:00:00,,
17,1852,13,105.46,ACTIVE,2026-07-23 12:00:00,,
18,1853,13,104.57,ACTIVE,2026-07-24 12:00:00,,
19,1854,13,97.16,ACTIVE,2026-07-30 12:00:00,,
20,1805,58,94.97,WITHDRAWN,2026-06-29 12:00:00,2026-07-04 12:00:00,
21,71,14,118.1,WITHDRAWN,2026-06-11 12:00:00,2026-06-13 12:00:00,
22,98,105,198.04,WITHDRAWN,2026-06-29 12:00:00,2026-07-01 12:00:00,
23,94,58,115.32,WITHDRAWN,2026-06-23 12:00:00,2026-06-27 12:00:00,
24,68,22,227.83,WITHDRAWN,2026-06-09 12:00:00,2026-06-13 12:00:00,
25,102,72,215.72,ACTIVE,2026-07-16 12:00:00,,
26,1797,54,116.03,ACTIVE,2026-07-13 12:00:00,,
27,1803,50,238.49,ACTIVE,2026-07-16 12:00:00,,
28,1810,9,156.16,ACTIVE,2026-07-26 12:00:00,,
29,86,31,76.37,ACTIVE,2026-07-26 12:00:00,,
30,122,42,210.33,ACTIVE,2026-07-25 12:00:00,,
31,1822,18,167.99,ACTIVE,2026-07-31 12:00:00,,
32,83,49,113.63,ACTIVE,2026-07-18 12:00:00,,
33,1826,69,81.9,ACTIVE,2026-07-15 12:00:00,,
34,81,81,115.67,SOLD,2026-07-13 12:00:00,2026-07-18 12:00:00,16
35,127,107,207.79,SOLD,2026-06-28 12:00:00,2026-07-02 12:00:00,8
36,1800,57,119.06,SOLD,2026-07-14 12:00:00,2026-07-19 12:00:00,50
37,1804,58,105.76,SOLD,2026-06-17 12:00:00,2026-06-21 12:00:00,91
38,1819,105,214.43,SOLD,2026-06-13 12:00:00,2026-06-19 12:00:00,76
39,67,22,205.68,SOLD,2026-07-12 12:00:00,2026-07-16 12:00:00,115
40,74,106,120.38,SOLD,2026-06-17 12:00:00,2026-06-19 12:00:00,93
41,74,93,121.62,SOLD,2026-07-10 12:00:00,2026-07-12 12:00:00,106
