tier_id,performance_id,tier_code,price
1,1,P1,200
2,1,P2,132.0
3,1,P3,84.0
4,2,P1,180
5,2,P2,118.8
6,2,P3,75.6
7,3,P1,175
8,3,P2,115.5
9,3,P3,73.5
10,4,P1,200
11,4,P2,132.0
12,4,P3,84.0
13,5,P1,110
14,5,P2,72.6
15,5,P3,46.2
16,6,P1,110
17,6,P2,72.6
18,6,P3,46.2
19,7,P1,110
20,7,P2,72.6
21,7,P3,46.2
22,8,P1,110
23,8,P2,72.6
24,8,P3,46.2
25,9,P1,110
26,9,P2,72.6
27,9,P3,46.2
28,10,P1,110
29,10,P2,72.6
30,10,P3,46.2
31,11,P1,110
32,11,P2,72.6
33,11,P3,46.2
34,12,P1,110
35,12,P2,72.6
36,12,P3,46.2
37,13,P1,110
38,13,P2,72.6
39,13,P3,46.2
40,14,P1,110
41,14,P2,72.6
42,14,P3,46.2
43,15,P1,110
44,15,P2,72.6
45,15,P3,46.2
46,16,P1,110
47,16,P2,72.6
48,16,P3,46.2
49,17,P1,200
50,17,P2,132.0
51,17,P3,84.0
52,18,P1,130
53,18,P2,85.8
54,18,P3,54.6
55,19,P1,150
56,19,P2,90.0
57,20,P1,110
58,20,P2,72.6
59,20,P3,46.2
60,21,P1,180
61,21,P2,118.8
62,21,P3,75.6
63,22,P1,150
64,22,P2,99.0
65,22,P3,63.0
66,23,P1,60
67,23,P2,39.6
68,23,P3,25.2
69,24,P1,180
70,24,P2,108.0
71,25,P1,180
72,25,P2,118.8
73,25,P3,75.6
74,26,P1,130
75,26,P2,85.8
76,26,P3,54.6
77,27,P1,150
78,27,P2,99.0
79,27,P3,63.0
80,28,P1,90
81,28,P2,54.0
82,29,P1,150
83,29,P2,90.0
84,30,P1,90
85,30,P2,54.0
86,31,P1,90
87,31,P2,59.4
88,31,P3,37.8
89,32,P1,75
90,32,P2,49.5
91,32,P3,31.5
92,33,P1,130
93,33,P2,85.8
94,33,P3,54.6
95,34,P1,60
96,34,P2,36.0
97,35,P1,150
98,35,P2,90.0
99,36,P1,130
100,36,P2,85.8
101,36,P3,54.6
102,37,P1,200
103,37,P2,132.0
104,37,P3,84.0
105,38,P1,200
106,38,P2,132.0
107,38,P3,84.0
108,39,P1,200
109,39,P2,120.0
110,40,P1,120
111,40,P2,79.2
112,40,P3,50.4
113,41,P1,130
114,41,P2,78.0
115,42,P1,180
116,42,P2,118.8
117,42,P3,75.6
118,43,P1,150
119,43,P2,90.0
120,44,P1,180
121,44,P2,118.8
122,44,P3,75.6
123,45,P1,200
124,45,P2,132.0
125,45,P3,84.0
126,46,P1,150
127,46,P2,90.0
128,47,P1,200
129,47,P2,132.0
130,47,P3,84.0
131,48,P1,200
132,48,P2,132.0
133,48,P3,84.0
134,49,P1,150
135,49,P2,99.0
136,49,P3,63.0
137,50,P1,90
138,50,P2,59.4
139,50,P3,37.8
140,51,P1,150
141,51,P2,99.0
142,51,P3,63.0
143,52,P1,150
144,52,P2,90.0
145,53,P1,110
146,53,P2,72.6
147,53,P3,46.2
148,54,P1,200
149,54,P2,132.0
150,54,P3,84.0
151,55,P1,180
152,55,P2,118.8
153,55,P3,75.6
154,56,P1,120
155,56,P2,72.0
156,57,P1,180
157,57,P2,108.0
158,58,P1,90
159,58,P2,54.0
160,59,P1,180
161,59,P2,108.0
162,60,P1,200
163,60,P2,132.0
164,60,P3,84.0
165,61,P1,180
166,61,P2,118.8
167,61,P3,75.6
168,62,P1,180
169,62,P2,108.0
170,63,P1,200
171,63,P2,132.0
172,63,P3,84.0
173,64,P1,200
174,64,P2,120.0
