performance_id,seat_id,hold_type,ticket_id
8,3433,SOLD,2
8,3434,SOLD,3
9,3433,SOLD,4
9,3434,SOLD,5
9,3435,SOLD,6
9,3436,SOLD,7
22,6037,SOLD,8
22,6038,SOLD,9
22,6039,SOLD,10
24,1,SOLD,11
25,6037,SOLD,12
25,6038,SOLD,13
25,6039,SOLD,14
25,6040,SOLD,15
31,4150,SOLD,17
34,7210,SOLD,19
34,7212,SOLD,21
37,6037,SOLD,25
37,6038,SOLD,26
37,6039,SOLD,27
37,6040,SOLD,28
38,4865,SOLD,29
38,4866,SOLD,30
38,4867,SOLD,31
38,4868,SOLD,32
40,1173,SOLD,33
40,1174,SOLD,34
40,1175,SOLD,35
40,1177,SOLD,37
40,1178,SOLD,38
41,3433,SOLD,39
41,3434,SOLD,40
41,3435,SOLD,41
45,4865,SOLD,42
45,4866,SOLD,43
45,4867,SOLD,44
48,4865,SOLD,45
48,4866,SOLD,46
48,4867,SOLD,47
51,6038,SOLD,50
52,6037,SOLD,51
56,1174,SOLD,53
56,1175,SOLD,54
56,1176,SOLD,55
56,1177,SOLD,56
61,7317,SOLD,57
61,7318,SOLD,58
61,7319,SOLD,59
2,7317,SOLD,65
4,6037,SOLD,66
4,6038,SOLD,67
4,6039,SOLD,68
12,3433,SOLD,69
12,3434,SOLD,70
12,3435,SOLD,71
13,3433,SOLD,72
13,3434,SOLD,73
13,3435,SOLD,74
14,3433,SOLD,75
15,3433,SOLD,76
15,3434,SOLD,77
15,3435,SOLD,78
15,3436,SOLD,79
15,3437,SOLD,80
16,3433,SOLD,81
16,3434,SOLD,82
16,3435,SOLD,83
16,3436,SOLD,84
18,1,SOLD,85
18,2,SOLD,86
18,3,SOLD,87
19,7317,SOLD,88
19,7318,SOLD,89
20,3433,SOLD,90
20,3434,SOLD,91
20,3435,SOLD,92
20,3436,SOLD,93
20,3437,SOLD,94
21,6037,SOLD,95
21,6038,SOLD,96
21,6039,SOLD,97
21,6040,SOLD,98
30,4149,SOLD,99
42,7317,SOLD,100
42,7318,SOLD,101
42,7319,SOLD,102
42,7321,SOLD,104
42,7322,SOLD,105
47,4865,SOLD,106
47,4866,SOLD,107
47,4867,SOLD,108
47,4868,SOLD,109
47,4869,SOLD,110
50,3434,SOLD,112
50,3435,SOLD,113
54,6039,SOLD,116
57,1,SOLD,117
57,2,SOLD,118
57,3,SOLD,119
57,4,SOLD,120
57,5,SOLD,121
59,4865,SOLD,122
60,6037,SOLD,123
60,6038,SOLD,124
60,6039,SOLD,125
60,6040,SOLD,126
60,6041,SOLD,127
5,3501,SOLD,128
5,3548,SOLD,129
5,3727,SOLD,130
5,4030,SOLD,131
5,3864,SOLD,132
5,3878,SOLD,133
5,4093,SOLD,134
5,4077,SOLD,135
5,3656,SOLD,136
5,3995,SOLD,137
5,3822,SOLD,138
5,4139,SOLD,139
5,3507,SOLD,140
5,3811,SOLD,141
5,4105,SOLD,142
5,3861,SOLD,143
5,3962,SOLD,144
5,3990,SOLD,145
5,3917,SOLD,146
5,4062,SOLD,147
5,3965,SOLD,148
5,3996,SOLD,149
5,3606,SOLD,150
5,3559,SOLD,151
5,4074,SOLD,152
5,4056,SOLD,153
5,3955,SOLD,154
5,3896,SOLD,155
5,3949,SOLD,156
5,3760,SOLD,157
5,3709,SOLD,158
5,3609,SOLD,159
5,3788,SOLD,160
5,3836,SOLD,161
5,3886,SOLD,162
5,3923,SOLD,163
5,3850,SOLD,164
5,3497,SOLD,165
5,3566,SOLD,166
5,3725,SOLD,167
5,3617,SOLD,168
5,3552,SOLD,169
5,3717,SOLD,170
5,3584,SOLD,171
5,3513,SOLD,172
5,4137,SOLD,173
5,3848,SOLD,174
5,3582,SOLD,175
5,3670,SOLD,176
5,3661,SOLD,177
5,3535,SOLD,178
5,3508,SOLD,179
5,3469,SOLD,180
5,3443,SOLD,181
5,3757,SOLD,182
5,3487,SOLD,183
5,3446,SOLD,184
5,3789,SOLD,185
5,3889,SOLD,186
5,3984,SOLD,187
5,3958,SOLD,188
5,3973,SOLD,189
5,3762,SOLD,190
5,3632,SOLD,191
5,3550,SOLD,192
5,4028,SOLD,193
5,3902,SOLD,194
5,3945,SOLD,195
5,3488,SOLD,196
5,4055,SOLD,197
5,3849,SOLD,198
5,3740,SOLD,199
5,3929,SOLD,200
5,3787,SOLD,201
5,3944,SOLD,202
5,3773,SOLD,203
5,3463,SOLD,204
5,4125,SOLD,205
5,3826,SOLD,206
5,4054,SOLD,207
5,3622,SOLD,208
5,4140,SOLD,209
5,3720,SOLD,210
5,4039,SOLD,211
5,3613,SOLD,212
5,3481,SOLD,213
5,3524,SOLD,214
5,3795,SOLD,215
5,4009,SOLD,216
5,4141,SOLD,217
5,4086,SOLD,218
5,3734,SOLD,219
5,3770,SOLD,220
5,3977,SOLD,221
5,3667,SOLD,222
5,3858,SOLD,223
5,4008,SOLD,224
5,3819,SOLD,225
5,3546,SOLD,226
5,3433,SOLD,227
5,3969,SOLD,228
5,4148,SOLD,229
5,3928,SOLD,230
5,3726,SOLD,231
5,3459,SOLD,232
5,3761,SOLD,233
5,4112,SOLD,234
5,3821,SOLD,235
5,3839,SOLD,236
5,3598,SOLD,237
5,4044,SOLD,238
5,3771,SOLD,239
5,4118,SOLD,240
5,3888,SOLD,241
5,3605,SOLD,242
5,3903,SOLD,243
5,3865,SOLD,244
5,3467,SOLD,245
5,3915,SOLD,246
5,3471,SOLD,247
5,3785,SOLD,248
5,3510,SOLD,249
5,3986,SOLD,250
5,4018,SOLD,251
5,3504,SOLD,252
5,3680,SOLD,253
5,3528,SOLD,254
5,3772,SOLD,255
5,3681,SOLD,256
5,4098,SOLD,257
5,3649,SOLD,258
5,3813,SOLD,259
5,3815,SOLD,260
5,3684,SOLD,261
5,3512,SOLD,262
5,3792,SOLD,263
5,3922,SOLD,264
5,3673,SOLD,265
5,4035,SOLD,266
5,3686,SOLD,267
5,3626,SOLD,268
5,3845,SOLD,269
5,3718,SOLD,270
5,3634,SOLD,271
5,3885,SOLD,272
5,3812,SOLD,273
5,3834,SOLD,274
5,3576,SOLD,275
5,3818,SOLD,276
5,3436,SOLD,277
5,3989,SOLD,278
5,4122,SOLD,279
5,3750,SOLD,280
5,3645,SOLD,281
5,3983,SOLD,282
5,3881,SOLD,283
5,3749,SOLD,284
5,3960,SOLD,285
5,4015,SOLD,286
5,3608,SOLD,287
5,3777,SOLD,288
5,3999,SOLD,289
5,3575,SOLD,290
5,3716,SOLD,291
5,4114,SOLD,292
5,4057,SOLD,293
5,3841,SOLD,294
5,3778,SOLD,295
5,4040,SOLD,296
5,3728,SOLD,297
5,3631,SOLD,298
5,3472,SOLD,299
5,3974,SOLD,300
5,3956,SOLD,301
5,3650,SOLD,302
5,3829,SOLD,303
5,3872,SOLD,304
5,3953,SOLD,305
5,4138,SOLD,306
5,4147,SOLD,307
5,4087,SOLD,308
5,3913,SOLD,309
5,3895,SOLD,310
5,3674,SOLD,311
5,3741,SOLD,312
5,3458,SOLD,313
5,3780,SOLD,314
5,3520,SOLD,315
5,3542,SOLD,316
5,3560,SOLD,317
5,3521,SOLD,318
5,3708,SOLD,319
5,3743,SOLD,320
5,3831,SOLD,321
5,3786,SOLD,322
5,3547,SOLD,323
5,3540,SOLD,324
5,4052,SOLD,325
5,4007,SOLD,326
5,3662,SOLD,327
5,3538,SOLD,328
5,3515,SOLD,329
5,3517,SOLD,330
5,4038,SOLD,331
5,3452,SOLD,332
5,3615,SOLD,333
5,4076,SOLD,334
5,3588,SOLD,335
5,3442,SOLD,336
5,3596,SOLD,337
5,3457,SOLD,338
5,3968,SOLD,339
5,3759,SOLD,340
5,3466,SOLD,341
5,3637,SOLD,342
5,3478,SOLD,343
5,3804,SOLD,344
5,3924,SOLD,345
5,4129,SOLD,346
5,3578,SOLD,347
5,3942,SOLD,348
5,3688,SOLD,349
5,3920,SOLD,350
5,3814,SOLD,351
5,3587,SOLD,352
5,3897,SOLD,353
5,4068,SOLD,354
5,3603,SOLD,355
5,3619,SOLD,356
5,3830,SOLD,357
5,3748,SOLD,358
5,3730,SOLD,359
5,3621,SOLD,360
5,3933,SOLD,361
5,3851,SOLD,362
5,3482,SOLD,363
5,3574,SOLD,364
5,3907,SOLD,365
5,3978,SOLD,366
5,3679,SOLD,367
5,3781,SOLD,368
5,4109,SOLD,369
5,3736,SOLD,370
5,3975,SOLD,371
5,3946,SOLD,372
5,3753,SOLD,373
5,3672,SOLD,374
5,3914,SOLD,375
5,3768,SOLD,376
5,4010,SOLD,377
5,3569,SOLD,378
5,4013,SOLD,379
5,3747,SOLD,380
5,3599,SOLD,381
