ticket_id,order_id,seat_id,ga_section_id,face_value,status,cancelled_at,cancel_type
1,1,3433,,110,CANCELLED,2026-06-08 12:00:00,CUSTOMER
2,2,3433,,110,ACTIVE,,
3,3,3434,,110,ACTIVE,,
4,4,3433,,110,ACTIVE,,
5,5,3434,,110,ACTIVE,,
6,5,3435,,110,ACTIVE,,
7,5,3436,,110,ACTIVE,,
8,6,6037,,150,ACTIVE,,
9,6,6038,,150,ACTIVE,,
10,6,6039,,150,ACTIVE,,
11,7,1,,180,ACTIVE,,
12,8,6037,,180,ACTIVE,,
13,9,6038,,180,ACTIVE,,
14,9,6039,,180,ACTIVE,,
15,9,6040,,180,ACTIVE,,
16,10,4149,,90,CANCELLED,2025-10-02 12:00:00,CUSTOMER
17,10,4150,,90,ACTIVE,,
18,11,7209,,36.0,CANCELLED,2025-09-14 12:00:00,CUSTOMER
19,11,7210,,36.0,ACTIVE,,
20,12,7211,,36.0,CANCELLED,2025-09-14 12:00:00,CUSTOMER
21,12,7212,,36.0,ACTIVE,,
22,13,4149,,130,CANCELLED,2026-01-10 12:00:00,PERFORMANCE
23,13,4150,,130,CANCELLED,2026-01-10 12:00:00,PERFORMANCE
24,13,4151,,130,CANCELLED,2026-01-10 12:00:00,PERFORMANCE
25,14,6037,,200,ACTIVE,,
26,14,6038,,200,ACTIVE,,
27,14,6039,,200,ACTIVE,,
28,15,6040,,200,ACTIVE,,
29,16,4865,,200,ACTIVE,,
30,16,4866,,200,ACTIVE,,
31,16,4867,,200,ACTIVE,,
32,17,4868,,200,ACTIVE,,
33,18,1173,,120,ACTIVE,,
34,18,1174,,120,ACTIVE,,
35,18,1175,,120,ACTIVE,,
36,19,1176,,120,CANCELLED,2025-11-15 12:00:00,CUSTOMER
37,19,1177,,120,ACTIVE,,
38,19,1178,,120,ACTIVE,,
39,20,3433,,130,ACTIVE,,
40,20,3434,,130,ACTIVE,,
41,21,3435,,130,ACTIVE,,
42,22,4865,,200,ACTIVE,,
43,23,4866,,200,ACTIVE,,
44,23,4867,,200,ACTIVE,,
45,24,4865,,200,ACTIVE,,
46,24,4866,,200,ACTIVE,,
47,24,4867,,200,ACTIVE,,
48,25,4868,,200,CANCELLED,2026-01-30 12:00:00,CUSTOMER
49,26,6037,,150,CANCELLED,2025-09-13 12:00:00,CUSTOMER
50,26,6038,,150,ACTIVE,,
51,27,6037,,150,ACTIVE,,
52,28,1173,,120,CANCELLED,2026-05-01 12:00:00,CUSTOMER
53,28,1174,,120,ACTIVE,,
54,28,1175,,120,ACTIVE,,
55,29,1176,,120,ACTIVE,,
56,29,1177,,120,ACTIVE,,
57,30,7317,,180,ACTIVE,,
58,30,7318,,180,ACTIVE,,
59,30,7319,,180,ACTIVE,,
60,31,7320,,180,CANCELLED,2025-09-03 12:00:00,CUSTOMER
61,32,7317,,180,CANCELLED,2025-10-30 12:00:00,PERFORMANCE
62,32,7318,,180,CANCELLED,2025-10-30 12:00:00,PERFORMANCE
63,33,7319,,180,CANCELLED,2025-10-30 12:00:00,PERFORMANCE
64,33,7320,,180,CANCELLED,2025-10-30 12:00:00,PERFORMANCE
65,34,7317,,180,ACTIVE,,
66,35,6037,,200,ACTIVE,,
67,35,6038,,200,ACTIVE,,
68,35,6039,,200,ACTIVE,,
69,36,3433,,110,ACTIVE,,
70,36,3434,,110,ACTIVE,,
71,36,3435,,110,ACTIVE,,
72,37,3433,,110,ACTIVE,,
73,38,3434,,110,ACTIVE,,
74,38,3435,,110,ACTIVE,,
75,39,3433,,110,ACTIVE,,
76,40,3433,,110,ACTIVE,,
77,40,3434,,110,ACTIVE,,
78,40,3435,,110,ACTIVE,,
79,41,3436,,110,ACTIVE,,
80,41,3437,,110,ACTIVE,,
81,42,3433,,110,ACTIVE,,
82,42,3434,,110,ACTIVE,,
83,43,3435,,110,ACTIVE,,
84,43,3436,,110,ACTIVE,,
85,44,1,,54.6,ACTIVE,,
86,44,2,,54.6,ACTIVE,,
87,44,3,,54.6,ACTIVE,,
88,45,7317,,150,ACTIVE,,
89,45,7318,,150,ACTIVE,,
90,46,3433,,110,ACTIVE,,
91,46,3434,,110,ACTIVE,,
92,47,3435,,110,ACTIVE,,
93,47,3436,,110,ACTIVE,,
94,47,3437,,110,ACTIVE,,
95,48,6037,,180,ACTIVE,,
96,48,6038,,180,ACTIVE,,
97,48,6039,,180,ACTIVE,,
98,49,6040,,180,ACTIVE,,
99,50,4149,,90,ACTIVE,,
100,51,7317,,180,ACTIVE,,
101,51,7318,,180,ACTIVE,,
102,51,7319,,180,ACTIVE,,
