ownership_id,ticket_id,owner_id,acquired_at,acquired_via
1,1,110,2026-05-18 12:00:00,PURCHASE
2,2,40,2026-06-22 12:00:00,PURCHASE
3,3,96,2026-06-04 12:00:00,PURCHASE
4,4,59,2026-06-10 12:00:00,PURCHASE
5,5,61,2026-06-17 12:00:00,PURCHASE
6,6,61,2026-06-17 12:00:00,PURCHASE
7,7,61,2026-06-17 12:00:00,PURCHASE
8,8,79,2025-10-09 12:00:00,PURCHASE
9,9,79,2025-10-09 12:00:00,PURCHASE
10,10,79,2025-10-09 12:00:00,PURCHASE
11,11,16,2026-01-17 12:00:00,PURCHASE
12,12,62,2025-11-20 12:00:00,PURCHASE
13,13,65,2025-11-10 12:00:00,PURCHASE
14,14,65,2025-11-10 12:00:00,PURCHASE
15,15,65,2025-11-10 12:00:00,PURCHASE
16,16,67,2025-09-15 12:00:00,PURCHASE
17,17,67,2025-09-15 12:00:00,PURCHASE
18,18,86,2025-09-19 12:00:00,PURCHASE
19,19,86,2025-09-19 12:00:00,PURCHASE
20,20,55,2025-09-17 12:00:00,PURCHASE
21,21,55,2025-09-17 12:00:00,PURCHASE
22,22,68,2025-12-20 12:00:00,PURCHASE
23,23,68,2025-12-20 12:00:00,PURCHASE
24,24,68,2025-12-20 12:00:00,PURCHASE
25,25,92,2026-03-15 12:00:00,PURCHASE
26,26,92,2026-03-15 12:00:00,PURCHASE
27,27,92,2026-03-15 12:00:00,PURCHASE
28,28,40,2026-03-04 12:00:00,PURCHASE
29,29,69,2026-03-12 12:00:00,PURCHASE
30,30,69,2026-03-12 12:00:00,PURCHASE
31,31,69,2026-03-12 12:00:00,PURCHASE
32,32,19,2026-03-08 12:00:00,PURCHASE
33,33,103,2025-11-11 12:00:00,PURCHASE
34,34,103,2025-11-11 12:00:00,PURCHASE
35,35,103,2025-11-11 12:00:00,PURCHASE
36,36,111,2025-11-11 12:00:00,PURCHASE
37,37,111,2025-11-11 12:00:00,PURCHASE
38,38,111,2025-11-11 12:00:00,PURCHASE
39,39,11,2025-12-27 12:00:00,PURCHASE
40,40,11,2025-12-27 12:00:00,PURCHASE
41,41,41,2025-12-17 12:00:00,PURCHASE
42,42,47,2026-03-13 12:00:00,PURCHASE
43,43,41,2026-03-08 12:00:00,PURCHASE
44,44,41,2026-03-08 12:00:00,PURCHASE
45,45,12,2026-01-08 12:00:00,PURCHASE
46,46,12,2026-01-08 12:00:00,PURCHASE
47,47,12,2026-01-08 12:00:00,PURCHASE
48,48,68,2026-01-18 12:00:00,PURCHASE
49,49,94,2025-08-28 12:00:00,PURCHASE
50,50,94,2025-08-28 12:00:00,PURCHASE
51,51,46,2025-09-25 12:00:00,PURCHASE
52,52,25,2026-05-05 12:00:00,PURCHASE
53,53,25,2026-05-05 12:00:00,PURCHASE
54,54,25,2026-05-05 12:00:00,PURCHASE
55,55,81,2026-04-22 12:00:00,PURCHASE
56,56,81,2026-04-22 12:00:00,PURCHASE
57,57,66,2025-08-23 12:00:00,PURCHASE
58,58,66,2025-08-23 12:00:00,PURCHASE
59,59,66,2025-08-23 12:00:00,PURCHASE
60,60,39,2025-09-05 12:00:00,PURCHASE
61,61,75,2025-10-30 12:00:00,PURCHASE
62,62,75,2025-10-30 12:00:00,PURCHASE
63,63,31,2025-10-04 12:00:00,PURCHASE
64,64,31,2025-10-04 12:00:00,PURCHASE
65,65,107,2026-05-18 12:00:00,PURCHASE
66,66,22,2026-05-13 12:00:00,PURCHASE
67,67,22,2026-05-13 12:00:00,PURCHASE
68,68,22,2026-05-13 12:00:00,PURCHASE
69,69,14,2026-06-17 12:00:00,PURCHASE
70,70,14,2026-06-17 12:00:00,PURCHASE
71,71,14,2026-06-17 12:00:00,PURCHASE
72,72,23,2026-05-13 12:00:00,PURCHASE
73,73,106,2026-06-16 12:00:00,PURCHASE
74,74,106,2026-06-16 12:00:00,PURCHASE
75,75,7,2026-05-24 12:00:00,PURCHASE
76,76,47,2026-07-04 12:00:00,PURCHASE
77,77,47,2026-07-04 12:00:00,PURCHASE
78,78,47,2026-07-04 12:00:00,PURCHASE
79,79,8,2026-05-26 12:00:00,PURCHASE
80,80,8,2026-05-26 12:00:00,PURCHASE
81,81,81,2026-07-15 12:00:00,PURCHASE
82,82,81,2026-07-15 12:00:00,PURCHASE
83,83,49,2026-06-12 12:00:00,PURCHASE
84,84,49,2026-06-12 12:00:00,PURCHASE
85,85,31,2026-07-27 12:00:00,PURCHASE
86,86,31,2026-07-27 12:00:00,PURCHASE
87,87,31,2026-07-27 12:00:00,PURCHASE
88,88,116,2026-05-17 12:00:00,PURCHASE
89,89,116,2026-05-17 12:00:00,PURCHASE
90,90,7,2026-07-03 12:00:00,PURCHASE
91,91,7,2026-07-03 12:00:00,PURCHASE
92,92,58,2026-06-21 12:00:00,PURCHASE
93,93,58,2026-06-21 12:00:00,PURCHASE
94,94,58,2026-06-21 12:00:00,PURCHASE
95,95,62,2026-05-10 12:00:00,PURCHASE
96,96,62,2026-05-10 12:00:00,PURCHASE
97,97,62,2026-05-10 12:00:00,PURCHASE
98,98,105,2026-05-25 12:00:00,PURCHASE
99,99,78,2026-07-19 12:00:00,PURCHASE
100,100,72,2026-05-23 12:00:00,PURCHASE
101,101,72,2026-05-23 12:00:00,PURCHASE
102,102,72,2026-05-23 12:00:00,PURCHASE
103,103,56,2026-06-12 12:00:00,PURCHASE
104,104,56,2026-06-12 12:00:00,PURCHASE
105,105,56,2026-06-12 12:00:00,PURCHASE
106,106,19,2026-07-11 12:00:00,PURCHASE
107,107,19,2026-07-11 12:00:00,PURCHASE
108,108,90,2026-05-28 12:00:00,PURCHASE
109,109,90,2026-05-28 12:00:00,PURCHASE
110,110,90,2026-05-28 12:00:00,PURCHASE
111,111,93,2026-07-05 12:00:00,PURCHASE
112,112,93,2026-07-05 12:00:00,PURCHASE
113,113,93,2026-07-05 12:00:00,PURCHASE
114,114,57,2026-05-19 12:00:00,PURCHASE
115,115,83,2026-05-10 12:00:00,PURCHASE
116,116,83,2026-05-10 12:00:00,PURCHASE
117,117,23,2026-06-22 12:00:00,PURCHASE
118,118,23,2026-06-22 12:00:00,PURCHASE
119,119,23,2026-06-22 12:00:00,PURCHASE
120,120,8,2026-06-27 12:00:00,PURCHASE
121,121,8,2026-06-27 12:00:00,PURCHASE
122,122,42,2026-06-24 12:00:00,PURCHASE
123,123,15,2026-06-30 12:00:00,PURCHASE
124,124,15,2026-06-30 12:00:00,PURCHASE
125,125,107,2026-05-22 12:00:00,PURCHASE
126,126,107,2026-05-22 12:00:00,PURCHASE
127,127,107,2026-05-22 12:00:00,PURCHASE
128,128,92,2026-05-02 12:00:00,PURCHASE
129,129,82,2026-05-04 12:00:00,PURCHASE
130,130,82,2026-05-04 12:00:00,PURCHASE
131,131,66,2026-05-21 12:00:00,PURCHASE
132,132,66,2026-05-21 12:00:00,PURCHASE
133,133,66,2026-05-21 12:00:00,PURCHASE
134,134,66,2026-05-21 12:00:00,PURCHASE
135,135,80,2026-04-26 12:00:00,PURCHASE
136,136,101,2026-04-24 12:00:00,PURCHASE
137,137,101,2026-04-24 12:00:00,PURCHASE
138,138,101,2026-04-24 12:00:00,PURCHASE
139,139,35,2026-05-22 12:00:00,PURCHASE
140,140,35,2026-05-22 12:00:00,PURCHASE
141,141,109,2026-05-01 12:00:00,PURCHASE
142,142,109,2026-05-01 12:00:00,PURCHASE
143,143,109,2026-05-01 12:00:00,PURCHASE
